id,title,url,platform,deadline,prize_inr,tech_tags,mode,description,embedding,reputation_score,difficulty_score
h1,Devpost AI Agents Hackathon,https://devpost.com/hackathons/ai-agents-2026,devpost,2026-09-30,150000,"AI,Agents,LLM",online,Build AI agents with Bedrock and Lambda. 30-day sprint.,"[0.1,0.2,0.3,0.4,0.5]",0.9,0.7
h2,MLH GenAI Builders,https://mlh.io/hackathons/genai-2026,mlh,2026-10-05,200000,"GenAI,Python,Cloud",hybrid,Next-gen generative AI applications. Prize pool in USD.,"[0.2,0.3,0.4,0.5,0.6]",0.9,0.6
h3,Unstop Fintech Challenge,https://unstop.com/hackathons/fintech-2026,unstop,2026-09-25,80000,"Fintech,Payment,API",online,Build fintech solutions for Indian users. Cash prizes.,"[0.1,0.15,0.25,0.35,0.45]",0.8,0.5
h4,Devfolio Cloud Native Sprint,https://devfolio.co/hackathons/cloud-2026,devfolio,2026-10-12,120000,"Cloud,Serverless,DynamoDB",offline,Native cloud architecture with AWS services. In-person in Bangalore.,"[0.4,0.5,0.6,0.7,0.8]",0.85,0.8
h5,Hackerearth ML Sprint,https://hackerearth.com/challenges/ml-sprint-2026,hackerearth,2026-09-28,60000,"ML,TensorFlow,Python",online,Machine learning models deployed at scale. Beginner-friendly.,"[0.3,0.4,0.5,0.6,0.7]",0.75,0.4
h6,Devpost Serverless Hackathon,https://devpost.com/hackathons/serverless-2026,devpost,2026-10-03,100000,"Serverless,Lambda,API",online,Serverless-first applications with AWS Lambda and API Gateway.,"[0.5,0.6,0.7,0.8,0.9]",0.9,0.65
h7,MLH Cloud Hackathon,https://mlh.io/hackathons/cloud-hack-2026,mlh,2026-10-15,180000,"AWS,Cloud,Serverless",online,Build and deploy serverless applications on AWS.,"[0.6,0.7,0.8,0.9,1.0]",0.9,0.7
h8,Unstop Blockchain Buildathon,https://unstop.com/hackathons/blockchain-2026,unstop,2026-10-20,90000,"Web3,Blockchain,Smart Contracts",online,Decentralized applications with Web3 stacks.,"[0.2,0.3,0.4,0.5,0.6]",0.8,0.7
h9,Devfolio Open Source Sprint,https://devfolio.co/hackathons/open-source-2026,devfolio,2026-09-22,50000,"Open Source,Git,Devtools",offline,Contribute to major open-source projects. Mentorship included.,"[0.1,0.2,0.3,0.4,0.5]",0.85,0.3
h10,Hackerearth DevOps Challenge,https://hackerearth.com/challenges/devops-2026,hackerearth,2026-09-27,70000,"DevOps,Docker,K8s",online,CI/CD pipelines and container orchestration.,"[0.4,0.5,0.6,0.4,0.3]",0.75,0.55
h11,Devpost HealthTech Hack,https://devpost.com/hackathons/healthtech-2026,devpost,2026-10-08,110000,"HealthTech,IOT,Data",online,Healthcare applications with real-time data processing.,"[0.3,0.4,0.3,0.5,0.4]",0.9,0.6
h12,MLH AI for Good,https://mlh.io/hackathons/ai-for-good-2026,mlh,2026-10-18,160000,"AI,Social Impact,NLP",hybrid,AI solutions for social good and accessibility.,"[0.2,0.3,0.5,0.4,0.6]",0.9,0.5
